HS_NAME,HS_CEEB,HS_NCES
saint croix christian academy,241494,NA
academy of holy angels,241585,NA
minnehaha academy,241625,A1702132
blake school,241635,NA
minnesota online high school,241681,270026003318
rochester lourdes high school,242102,NA
cathedral high school,242180,A1502121
benilde-st margaret's school,242202,NA
minnesota cons performing arts,242272,NA
jennings experiential hs,242273,NA
saint paul conservatory,242284,270035104098
saint stanislaus college prep,250150,NA
washington school,251044,NA
ava victory academy,260123,NA
columbia independent school,260722,NA
u of mo-columbia high school,260734,NA
mu high school - univ of mo,260734,NA
saint louis priory school,260782,NA
whitfield school,260783,NA
college heights christian sch,261578,NA
blue ridge christian school,261612,NA
southwest early coll campus,261627,NA
archbishop o'hara high school,261668,NA
pembroke hill school,261715,NA
ursuline academy,261795,NA
wentworth military academy,261955,NA
john f kennedy catholic hs,262073,NA
missouri academy sci math comp,262147,NA
gloria deo academy,262834,NA
bishop le blond high school,262905,NA
crossroads school,262941,AA000373
mckinley high school,262995,292928002990
westminster christian academy,263121,NA
new covenant academy,263291,NA
saint labre indian catholic hs,270030,NA
monarch school,270464,NA
nebraska christian school,280443,NA
scotus central catholic h s,280520,NA
kearney catholic high school,281227,NA
concordia lutheran jr/sr hs,281706,A0302000
daniel j gross catholic hs,281712,00809393
mercy high school,281719,NA
free world u,290039,NA
nevada state high school,290067,NA
advantages online private sch,290079,NA
truckee meadows cmty coll hs,290157,NA
del sol high school,290198,320006000571
the adelson school,290229,NA
adelson upper school,290229,NA
nevada virtual academy,290243,320000100734
cocheco arts and tech acad,300134,NA
oliverian school the,300251,NA
davenport school,300292,NA
kimball union academy,300400,NA
st mary's hall/doane academy,310165,NA
camden catholic high school,310185,NA
pioneer academy of science,310249,NA
acad math science engineering,310274,NA
pingry school,310315,NA
alexander hamilton prep acad,310337,340459003043
pre-engineering academy,310351,NA
law and public safety academy,310353,NA
information systems academy,310361,NA
academy advancement sci & tech,310449,NA
acad for cul vis tele & power,310451,NA
academy for med science tech,310452,NA
academy for bus & comp tech,310454,NA
bergen arts & sci charter sch,310457,NA
class academy,310722,NA
kings christian jr sr hs,310828,NA
fusion academy - morristown,310836,NA
bard hs early col newark,310901,NA
newark academy,310915,NA
newark collegiate academy,310986,NA
public safety academy,311142,NA
paterson cs for sci and tech,311143,340008700735
wardlaw-hartridge school,311230,NA
lewis school,311261,NA
stuart cntry day scl sac hrt,311278,NA
don bosco prep high school,311285,NA
saint augustine preparatory sc,311302,NA
pope john xxiii regl high sch,311407,NA
pope john xxiii regional hs,311407,NA
kent place school,311425,00869149
oak knoll school,311430,NA
monsignor donovan high school,311463,NA
solomon schechter day school,311503,NA
public academy performing arts,320076,NA
nex gen high school,320111,NA
tierra adentro of new mexico,320113,NA
native american com. acad.,320116,350006000918
early college academy,320120,NA
chaparral high school,320128,350108001131
southwest aeronautics mathemat,320133,NA
explore academy charter school,320143,NA
univ nm gallup middle coll hs,320299,NA
arrowhead park early coll high,320408,NA
rehoboth christian school,320530,NA
new mexico military institute,320545,NA
new mexico military inst hs,320545,NA
valley christian academy,320553,NA
desert academy,320597,NA
saint michaels high school,320620,NA
santa fe preparatory school,320626,NA
santa fe secondary school,320628,NA
st bonaventure high school,320687,NA
academy of holy names upper sc,330025,NA
doane stuart school,330030,NA
saint francis high school,330230,NA
bay ridge preparatory school,330348,NA
eximius college prep academy,330493,360008605791
brentwood hs ross center,330495,360528004433
1199 school social change,330535,NA
science tech res hs erasmus,330619,360009505516
bronx expeditionary learning,330761,NA
saint francis preparatory sch,330835,00925106
urban asy ins math-sci y women,330984,360009105928
"new york city charter arch, en",331036,NA
think global school,331183,A1792066
buffalo acad of sacred heart,331770,NA
holy cross high school,331927,NA
windsor school,331931,NA
john s burke catholic hs,332140,NA
solomon schechter high school,332369,NA
national sports acad lk placid,332761,361650001460
christian academy of wny,332879,NA
saint marys high school,333015,NA
chaminade high school,333150,NA
thornton donovan school,333380,NA
baldwin school n y c,333425,NA
browning school,333490,NA
cathedral high school,333520,NA
leman manhattan prep school,333522,NA
columbia grammar & prep school,333570,NA
convent of the sacred heart,333575,NA
dominican academy,333595,NA
elisabeth irwin high school,333610,NA
fieldston school,333628,NA
hs math sci eng at city coll,333691,NA
nest plus m-new explorations,333737,NA
lyceum kennedy,333762,NA
avenues new york,333776,BB162059
fusion academy - new york,333777,NA
kipp nyc college prep hs,333836,360005404452
notre dame school,333870,NA
professional childrens school,333890,NA
regis high school,333905,NA
rudolf steiner school,333932,NA
saint agnes boys high school,333935,NA
urban assembly media high sch,333997,360007805630
school for young performers,334042,NA
trinity school,334090,NA
trevor day school,334114,NA
marsha stern talmudical acad,334148,NA
soundview preparatory school,334221,NA
saint dominic high school,334390,NA
clarkson school,334608,NA
mercy high school,334752,NA
mcquaid jesuit high school,334830,00929621
world of inquiry high school,334859,NA
ef international academy,334864,NA
school of the holy child,334972,NA
moore catholic high school,335343,NA
monsignor farrell high school,335352,NA
richmondtown preparatory sch,335370,NA
saint joseph by the sea hs,335383,NA
staten island academy,335400,NA
christian brothers academy,335465,00924022
hackley school,335540,NA
cardinal ohara high school,335576,NA
notre dame jr-sr high school,335687,NA
west point prep school,335914,NA
acad of our lady good counsel,335935,NA
fusion academy - white plains,335952,A1502502
woodstock day school,336023,NA
martin luther lutheran hs,336027,361240004295
first assembly christian sch,340886,NA
camelot academy,341045,NA
carolina friends school,341047,NA
veritas christian academy,341341,A0108578
american hebrew academy,341579,A0302348
heritage hall school,341801,NA
carmel christian school,342527,NA
covenant day school,342532,A1702739
thales academy: rolesville,343395,A1502770
univ of nc sch of arts hs,344438,NA
shanley high school,350575,NA
saints vincent & mary hs,360090,NA
cincinnati country day school,360955,NA
seven hills upper school,361005,NA
lasalle high school,361021,NA
schilling sch gifted children,361114,NA
ursuline academy,361125,NA
john hay senior high school,361290,NA
beaumont school for girls,361440,NA
columbus academy,361525,NA
marburn academy,361557,NA
cuyahoga valley christian acad,361771,NA
dayton christian high school,361799,NA
miami valley school,361833,NA
saint wendelin high school,362175,NA
saint peters high school,363170,01061029
christian academy schools,364656,NA
saint john's jesuit hs,365054,NA
mc2 stem high school,365243,NA
john f kennedy high school,365330,A0108643
andrews school,365565,NA
ohio connections academy,365769,NA
reynoldsburg estem academy,365841,NA
saint augustine academy,370476,NA
oklahoma christian school,371187,NA
oklahoma bible academy,372365,NA
casady school,372640,NA
francis tuttle area tech ctr,372661,NA
oklahoma christian academy,372672,NA
oklahoma school of sci & math,372684,NA
epic charter school,372720,400080002866
academy of classical christian,372723,NA
able charter school,372729,NA
rejoice high school,372786,NA
metro christian academy,373626,NA
life christian school,380011,A0108743
international sch of beaverton,380049,NA
baker early college hs,380061,NA
valley catholic high school,380080,NA
estacada early college,380319,410470000143
christa mcauliffe acad sch art,380581,NA
saint marys school,380655,01160835
clackamas middle college,380786,NA
catlin gabel school,380845,NA
