HS_CEEB,HS_CITY,HS_NAME,HS_POSTAL_CD,HS_STATE
431723,Nashville,gateway academy,37215,TN
576360,Apo,wiesbaden high school dod,09096,AE
060454,Denver,denver street school,80218,CO
070945,Windsor,loomis chaffee school,06095,CT
130507,Post Falls,saint dominic school,83854,ID
220437,Brockton,cardinal spellman high school,02302,MA
052021,Modesto,big valley christian hs,95356,CA
060447,Denver,ps 1 charter school,80204,CO
543872,Ponce      00730    Puerto Ric,caribbean school,,
060551,Estes Park,eagle rock sch prof dev center,80517,CO
111269,Fairburn,our lady of mercy catholic hs,30213,GA
331036,Bronx,"new york city charter arch, en",10451,NY
400085,Newport,saint georges school,02840,RI
446158,San Antonio,keystone school,78212,TX
151753,Indianapolis,lighthouse college prep acad,46203,IN
334090,New York,trinity school,10024,NY
391320,Erie,villa maria academy,16505,PA
431423,Selmer,homelife academy,38375,TN
447309,Waco,rapoport academy-meyer hs,76704,TX
576060,Apo,baumholder american hs dod,09034,AE
625025,Apo,casablanca american sch dod,09718,AE
648300,APO,cairo american college dod,09839-4900,AE
648300,Cairo      11431    Egypt,cairo american college,,
173205,Wichita,wichita eschool,67202,KS
190203,Baton Rouge,christian life academy,70808,LA
381114,Springfield,academy of arts and academics,97478,OR
393252,Philadelphia,gateway to college,19130,PA
541781,Dorado,tasis school in dorado,00646,PR
870760,Garza Garc 66220    Mexico,american school foundation,,
054599,Woodland Hills,fusion academy - warner center,91367,CA
054752,Los Angeles,halstrom academy - brentwood,90025,CA
143709,Rockford,lutheran high school,61114-4801,IL
180198,Benton,christian fellowship school,42025-7024,KY
334972,Rye,school of the holy child,10580,NY
393940,Pittsburgh,vincentian academy,15237,PA
546040,San Juan,robinson school,00907,PR
054345,Indio,shadow hills high school,92203-9482,CA
070646,Danbury,werace adult diploma,06810,CT
090073,Washington,field school,20008,DC
140748,Chicago,ogden international sc chicago,60642,IL
141122,Chicago,robert lindblom math-sci acad,60636-2100,IL
141230,Chicago,saint patrick high school,60634,IL
335687,Utica,notre dame jr-sr high school,13502,NY
481081,Seattle,educational advancement acad,98115,WA
053571,Tustin,pacific coast high school,92780,CA
060373,Colorado Springs,spring studio for academic exc,80908-5005,CO
060373,Colorado Springs,falcon virtual academy,80908-5005,CO
130399,Meridian,rocky mountian high school,83646,ID
370476,Tulsa,saint augustine academy,74114-6414,OK
541001,Caguas,thomas alva edison school,00725,PR
DH0005,Westminster,goal academy,80030,CO
DOMHSC,,domestic high school,,
050446,Capitola,santa cruz alternative,95010,CA
051711,Mountain View,german intl sch silicon valley,94043,CA
053648,Ventura,el camino high school,93003,CA
070972,Woodstock,hyde school woodstock,06281,CT
171305,Haysville,haysville alternative hs,67060,KS
